Trigram,Position 1,Position 2,Spacing,Mod 2,Mod 3,Mod 4,Mod 5,Mod 6,Mod 7,Mod 8,Mod 9,Mod 10,Mod 11,Mod 12,Mod 13,Mod 14,Mod 15,Mod 16,Mod 17,Mod 18,Mod 19,Mod 20
TBW,212,275,63,,0,,,,0,,0,,,,,,,,,,,
BWB,150,213,63,,0,,,,0,,0,,,,,,,,,,,
BWB,150,276,126,0,0,,,0,0,,0,,,,,0,,,,0,,
BWB,213,276,63,,0,,,,0,,0,,,,,,,,,,,
WBV,151,214,63,,0,,,,0,,0,,,,,,,,,,,
WBV,151,277,126,0,0,,,0,0,,0,,,,,0,,,,0,,
WBV,214,277,63,,0,,,,0,,0,,,,,,,,,,,
BVJ,152,306,154,0,,,,,0,,,,0,,,0,,,,,,
BVJ,152,396,244,0,,0,,,,,,,,,,,,,,,,
BVJ,306,396,90,0,0,,0,0,,,0,0,,,,,0,,,0,,
JVW,154,325,171,,0,,,,,,0,,,,,,,,,,0,
FMQ,157,560,403,,,,,,,,,,,,0,,,,,,,
NVP,170,184,14,0,,,,,0,,,,,,,0,,,,,,
IAM,192,606,414,0,0,,,0,,,0,,,,,,,,,0,,
UXE,220,400,180,0,0,0,0,0,,,0,0,,0,,,0,,,0,,0
BFV,238,672,434,0,,,,,0,,,,,,,0,,,,,,
JGB,242,668,426,0,0,,,0,,,,,,,,,,,,,,
BMO,244,460,216,0,0,0,,0,,0,0,,,0,,,,,,0,,
EDM,256,496,240,0,0,0,0,0,,0,,0,,0,,,0,0,,,,0
BVU,278,554,276,0,0,0,,0,,,,,,0,,,,,,,,
UDW,280,640,360,0,0,0,0,0,,0,0,0,,0,,,0,,,0,,0
PWZ,294,627,333,,0,,,,,,0,,,,,,,,,,,
DRG,299,740,441,,0,,,,0,,0,,,,,,,,,,,
NBV,305,395,90,0,0,,0,0,,,0,0,,,,,0,,,0,,
VJR,307,397,90,0,0,,0,0,,,0,0,,,,,0,,,0,,
EWY,314,352,38,0,,,,,,,,,,,,,,,,,0,
YDR,316,649,333,,0,,,,,,0,,,,,,,,,,,
DRQ,317,650,333,,0,,,,,,0,,,,,,,,,,,
RQU,318,651,333,,0,,,,,,0,,,,,,,,,,,
QUM,319,652,333,,0,,,,,,0,,,,,,,,,,,
UMF,320,653,333,,0,,,,,,0,,,,,,,,,,,
MFT,321,654,333,,0,,,,,,0,,,,,,,,,,,
FTP,322,655,333,,0,,,,,,0,,,,,,,,,,,
TLV,333,749,416,0,,0,,,,0,,,,,0,,,0,,,,
VTV,335,476,141,,0,,,,,,,,,,,,,,,,,
SRZ,340,646,306,0,0,,,0,,,0,,,,,,,,0,0,,
NOQ,346,373,27,,0,,,,,,0,,,,,,,,,,,
NOQ,346,427,81,,0,,,,,,0,,,,,,,,,,,
NOQ,346,697,351,,0,,,,,,0,,,,0,,,,,,,
NOQ,373,427,54,0,0,,,0,,,0,,,,,,,,,0,,
NOQ,373,697,324,0,0,0,,0,,,0,,,0,,,,,,0,,
NOQ,427,697,270,0,0,,0,0,,,0,0,,,,,0,,,0,,
OQO,347,374,27,,0,,,,,,0,,,,,,,,,,,
OQO,347,428,81,,0,,,,,,0,,,,,,,,,,,
OQO,347,698,351,,0,,,,,,0,,,,0,,,,,,,
OQO,374,428,54,0,0,,,0,,,0,,,,,,,,,0,,
OQO,374,698,324,0,0,0,,0,,,0,,,0,,,,,,0,,
OQO,428,698,270,0,0,,0,0,,,0,0,,,,,0,,,0,,
QOG,348,375,27,,0,,,,,,0,,,,,,,,,,,
QOG,348,429,81,,0,,,,,,0,,,,,,,,,,,
QOG,348,699,351,,0,,,,,,0,,,,0,,,,,,,
QOG,375,429,54,0,0,,,0,,,0,,,,,,,,,0,,
QOG,375,699,324,0,0,0,,0,,,0,,,0,,,,,,0,,
QOG,429,699,270,0,0,,0,0,,,0,0,,,,,0,,,0,,
VNO,372,426,54,0,0,,,0,,,0,,,,,,,,,0,,
OGQ,376,430,54,0,0,,,0,,,0,,,,,,,,,0,,
OGQ,376,700,324,0,0,0,,0,,,0,,,0,,,,,,0,,
OGQ,430,700,270,0,0,,0,0,,,0,0,,,,,0,,,0,,
GQB,377,431,54,0,0,,,0,,,0,,,,,,,,,0,,
GQB,377,701,324,0,0,0,,0,,,0,,,0,,,,,,0,,
GQB,431,701,270,0,0,,0,0,,,0,0,,,,,0,,,0,,
QBI,378,432,54,0,0,,,0,,,0,,,,,,,,,0,,
QBI,378,702,324,0,0,0,,0,,,0,,,0,,,,,,0,,
QBI,432,702,270,0,0,,0,0,,,0,0,,,,,0,,,0,,
FQA,404,449,45,,0,,0,,,,0,,,,,,0,,,,,
EIH,437,509,72,0,0,0,,0,,0,0,,,0,,,,,,0,,
IHR,438,510,72,0,0,0,,0,,0,0,,,0,,,,,,0,,
RLI,440,482,42,0,0,,,0,0,,,,,,,0,,,,,,
OVG,462,762,300,0,0,0,0,0,,,,0,,0,,,0,,,,,0
QAB,486,567,81,,0,,,,,,0,,,,,,,,,,,
RZY,512,647,135,,0,,0,,,,0,,,,,,0,,,,,
ZYD,513,648,135,,0,,0,,,,0,,,,,,0,,,,,
LWB,536,599,63,,0,,,,0,,0,,,,,,,,,,,
WBN,537,600,63,,0,,,,0,,0,,,,,,,,,,,
EAW,570,705,135,,0,,0,,,,0,,,,,,0,,,,,
GBA,581,756,175,,,,0,,0,,,,,,,,,,,,,
RQI,604,685,81,,0,,,,,,0,,,,,,,,,,,
CEG,616,754,138,0,0,,,0,,,,,,,,,,,,,,
